0,612318
0,605983
0,604950
0,606132
0,604212
0,604077
0,603621
0,632186
0,631575
0,627617
0,627164
0,627022
0,627466
0,627027
0,629823
0,626871
0,624963
0,626436
0,625400
0,627462
0,626143
0,625108
0,626287
0,626587
0,625851
0,626586
2,538679
2,539026
2,538497
2,538460
2,538530
2,538710
2,539051
2,538963
2,539010
2,539198
2,539154
2,539067
2,538201
2,538504
2,538916
2,538846
2,538471
2,538828
2,539187
2,539662
2,539883
1,487725
1,487672
1,490899
1,489793
1,489313
1,489020
1,489497
1,488267
1,488156
1,488271
1,488496
1,488737
1,488642
1,488549
1,488780
1,489415
1,489148
1,488870
0,528577
0,522693
0,523876
0,526606
0,524820
0,524465
0,524153
0,524379
0,524327
0,524366
2,541044
2,540215
2,540033
2,539642
2,539372
2,539135
2,539169
2,538876
2,538709
2,538206
2,532774
